[2025-11-09T14:42:27.743Z] [INFO] 🚀 Starting Apple Documentation Crawler
[2025-11-09T14:44:54.809Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/foundationmodels/documentation_foundationmodels_loading-and-using-a-custom-adapter-with-foundation-models.pdf
[2025-11-09T14:44:54.814Z] [INFO] 📄 [70/5000] depth=1 [appintents] https://developer.apple.com/documentation/AppIntents/displaying-static-and-interactive-snippets
[2025-11-09T14:44:56.840Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/appintents/documentation_appintents_displaying-static-and-interactive-snippets.pdf
[2025-11-09T14:44:56.846Z] [INFO] 📄 [71/5000] depth=1 [visualintelligence] https://developer.apple.com/documentation/VisualIntelligence/integrating-your-app-with-visual-intelligence
[2025-11-09T14:44:58.995Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/visualintelligence/documentation_visualintelligence_integrating-your-app-with-visual-intelligence.pdf
[2025-11-09T14:44:59.000Z] [INFO] 📄 [72/5000] depth=1 [immersivemediasupport] https://developer.apple.com/documentation/ImmersiveMediaSupport
[2025-11-09T14:45:00.997Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/immersivemediasupport/documentation_immersivemediasupport.pdf
[2025-11-09T14:45:01.005Z] [INFO] 📄 [73/5000] depth=1 [gamekit] https://developer.apple.com/documentation/GameKit/creating-engaging-challenges-from-leaderboards
[2025-11-09T14:45:03.349Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/gamekit/documentation_gamekit_creating-engaging-challenges-from-leaderboards.pdf
[2025-11-09T14:45:03.356Z] [INFO] 📄 [74/5000] depth=1 [metal] https://developer.apple.com/documentation/Metal/understanding-the-metal-4-core-api
[2025-11-09T14:45:05.109Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/metal/documentation_metal_understanding-the-metal-4-core-api.pdf
[2025-11-09T14:45:05.115Z] [INFO] 📄 [75/5000] depth=1 [gamecontroller] https://developer.apple.com/documentation/GameController/discovering-and-tracking-spatial-game-controllers-and-styli
[2025-11-09T14:45:06.959Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/gamecontroller/documentation_gamecontroller_discovering-and-tracking-spatial-game-controllers-and-styli.pdf
[2025-11-09T14:45:06.965Z] [INFO] 📄 [76/5000] depth=1 [technologyoverviews] https://developer.apple.com/documentation/TechnologyOverviews/building-your-macos-game-remotely-from-your-pc
[2025-11-09T14:45:09.815Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/technologyoverviews/documentation_technologyoverviews_building-your-macos-game-remotely-from-your-pc.pdf
[2025-11-09T14:45:09.820Z] [INFO] 📄 [77/5000] depth=1 [videosubscriberaccount] https://developer.apple.com/documentation/VideoSubscriberAccount/signing-people-in-to-media-apps-automatically
[2025-11-09T14:45:11.961Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/videosubscriberaccount/documentation_videosubscriberaccount_signing-people-in-to-media-apps-automatically.pdf
[2025-11-09T14:45:11.966Z] [INFO] 📄 [78/5000] depth=1 [swiftui] https://developer.apple.com/documentation/SwiftUI/Building-and-customizing-the-menu-bar-with-SwiftUI
[2025-11-09T14:45:15.533Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/swiftui/documentation_swiftui_building-and-customizing-the-menu-bar-with-swiftui.pdf
[2025-11-09T14:45:15.538Z] [INFO] 📄 [79/5000] depth=1 [technologyoverviews] https://developer.apple.com/documentation/TechnologyOverviews
[2025-11-09T14:45:17.866Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/technologyoverviews/documentation_technologyoverviews.pdf
[2025-11-09T14:45:17.871Z] [INFO] 📄 [80/5000] depth=1 [swiftui] https://developer.apple.com/documentation/SwiftUI
[2025-11-09T14:45:19.525Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/swiftui/documentation_swiftui.pdf
[2025-11-09T14:45:19.531Z] [INFO] 📄 [81/5000] depth=1 [swiftui] https://developer.apple.com/documentation/SwiftUI/View-fundamentals
[2025-11-09T14:45:21.281Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/swiftui/documentation_swiftui_view-fundamentals.pdf
[2025-11-09T14:45:21.287Z] [INFO] 📄 [82/5000] depth=1 [xcode] https://developer.apple.com/documentation/Xcode/supporting-multiple-languages-in-your-app
[2025-11-09T14:45:22.823Z] [INFO]    ✅ Saved new page: /Volumes/Code/DeveloperExt/private/apple_docs_crawl/docs/xcode/documentation_xcode_supporting-multiple-languages-in-your-app.pdf
